day;month;year;JulianDay;MaxTemp;MinTemp
1;1;1960;2436935;16;11;
2;1;1960;2436936;15.8;5.4;
3;1;1960;2436937;17.6;7.8;
4;1;1960;2436938;20.3;9.2;
5;1;1960;2436939;17.8;8;
6;1;1960;2436940;18.7;7.8;
7;1;1960;2436941;16.5;6.6;
8;1;1960;2436942;17;7.8;
9;1;1960;2436943;12.6;10.2;
10;1;1960;2436944;15;9.4;
11;1;1960;2436945;9.8;4;
12;1;1960;2436946;9.4;-2.5;
13;1;1960;2436947;14;-1;
14;1;1960;2436948;8.4;2.5;
15;1;1960;2436949;9.5;3.2;
16;1;1960;2436950;10.5;1.9;
17;1;1960;2436951;11.8;-2;
18;1;1960;2436952;10.8;-1.4;
19;1;1960;2436953;14.5;6.8;
20;1;1960;2436954;16.5;7;
21;1;1960;2436955;17.4;3.2;
22;1;1960;2436956;18.2;3.6;
23;1;1960;2436957;15.3;9.4;
24;1;1960;2436958;16.4;10.8;
25;1;1960;2436959;16;9.4;
26;1;1960;2436960;16;11.6;
27;1;1960;2436961;15.5;10.4;
28;1;1960;2436962;15;8.2;
29;1;1960;2436963;15.5;6;
30;1;1960;2436964;16.2;4;
31;1;1960;2436965;14;3.5;
1;2;1960;2436966;16;2;
2;2;1960;2436967;18;4.8;
3;2;1960;2436968;15.6;4.6;
4;2;1960;2436969;16.3;9;
5;2;1960;2436970;13.5;8;
6;2;1960;2436971;18.4;12.4;
7;2;1960;2436972;14;11.4;
8;2;1960;2436973;13.6;1;
9;2;1960;2436974;13;1.2;
10;2;1960;2436975;12.4;6;
11;2;1960;2436976;13.3;7;
12;2;1960;2436977;16;3.4;
13;2;1960;2436978;13.2;8;
14;2;1960;2436979;18;9;
15;2;1960;2436980;17;12.4;
16;2;1960;2436981;19.5;13.4;
17;2;1960;2436982;18.4;14.8;
18;2;1960;2436983;17.5;12.6;
19;2;1960;2436984;16;10.3;
20;2;1960;2436985;14.5;9.5;
21;2;1960;2436986;17;12;
22;2;1960;2436987;15;10.4;
23;2;1960;2436988;16.7;7.4;
24;2;1960;2436989;19.2;8;
25;2;1960;2436990;19;8.4;
26;2;1960;2436991;21.6;11.5;
27;2;1960;2436992;25;13;
28;2;1960;2436993;28;13.6;
29;2;1960;2436994;20.5;12.4;
1;3;1960;2436995;20.5;8.2;
2;3;1960;2436996;20.5;9.5;
3;3;1960;2436997;23.5;10.4;
